family,n_qubits,depth,backend,base_shots,n_seeds,feat_n_qubits,feat_depth,feat_n_1q_gates,feat_n_2q_gates,feat_n_cnot,feat_n_non_clifford,feat_clifford_fraction,feat_depth_per_qubit,feat_backend_avg_2q_error,feat_backend_avg_readout_error,feat_log2_shots,feat_n_2q_layers,feat_entangling_density,feat_mean_rz_angle_dist,feat_backend_avg_1q_error,raw_mean_abs_error,raw_n_seeds,raw_plus_mean_abs_error,raw_plus_n_seeds,zne_mean_abs_error,zne_n_seeds,zne_fr_mean_abs_error,zne_fr_n_seeds,cdr_mean_abs_error,cdr_n_seeds,cdr_ridge_mean_abs_error,cdr_ridge_n_seeds,rem_mean_abs_error,rem_n_seeds,best_technique,best_technique_cost_aware
hw_efficient_ansatz,3,4,FakeManilaV2@x2.0,256,5,3.0,18.0,30.0,8.0,8.0,30.0,0.2105263157894736,6.0,0.0199092480936205,0.07464,8.0,8.0,0.1481481481481481,0.4918333004610794,0.0004957777858353,0.24876573431135385,5,0.2672316434022629,5,0.208140734311354,5,0.22689073431135384,5,0.17698677711648553,5,0.18195428236079167,5,0.1462503107633522,5,rem,zne_fr
hw_efficient_ansatz,3,4,FakeManilaV2@x2.0,512,5,3.0,18.0,30.0,8.0,8.0,30.0,0.2105263157894736,6.0,0.0199092480936205,0.07464,9.0,8.0,0.1481481481481481,0.4918333004610794,0.0004957777858353,0.24329698431135385,5,0.2629702797658993,5,0.1776719843113538,5,0.21285602361138198,5,0.07315808041291574,5,0.07208238915682422,5,0.05233490146499994,5,rem,rem
hw_efficient_ansatz,3,4,FakeManilaV2@x2.0,1024,5,3.0,18.0,30.0,8.0,8.0,30.0,0.2105263157894736,6.0,0.0199092480936205,0.07464,10.0,8.0,0.1481481481481481,0.4918333004610794,0.0004957777858353,0.26439073431135385,5,0.2561520979477175,5,0.2151719843113539,5,0.2116563593113539,5,0.047715786198168283,5,0.052115435453248336,5,0.09338629800396296,5,cdr,cdr
hw_efficient_ansatz,3,4,FakeManilaV2@x2.0,2048,5,3.0,18.0,30.0,8.0,8.0,30.0,0.2105263157894736,6.0,0.0199092480936205,0.07464,11.0,8.0,0.1481481481481481,0.4918333004610794,0.0004957777858353,0.25677354681135384,5,0.24720323431135388,5,0.20521104681135394,5,0.23841417181135385,5,0.07289261401864344,5,0.07176034870099665,5,0.08619677030880678,5,cdr_ridge,rem
hw_efficient_ansatz,3,4,FakeManilaV2@x2.0,4096,5,3.0,18.0,30.0,8.0,8.0,30.0,0.2105263157894736,6.0,0.0199092480936205,0.07464,12.0,8.0,0.1481481481481481,0.4918333004610794,0.0004957777858353,0.26507432806135384,5,0.25158000987953566,5,0.2226915155613539,5,0.23148057806135386,5,0.030860645194320347,5,0.032101020167610454,5,0.10289434606094253,5,cdr,cdr
hw_efficient_ansatz,3,8,FakeLagosV2,256,5,3.0,34.0,54.0,16.0,16.0,54.0,0.2285714285714285,11.333333333333334,0.014634974746340002,0.2035428571428571,8.0,16.0,0.1568627450980392,0.5078751011651501,0.0001673853769984,0.37656554920204044,5,0.3626450946565858,5,0.3828155492020404,5,0.3468780492020404,5,0.27911320918147425,5,0.29034716760477014,5,0.298438700897225,4,cdr,zne_fr
hw_efficient_ansatz,3,8,FakeLagosV2,512,5,3.0,34.0,54.0,16.0,16.0,54.0,0.2285714285714285,11.333333333333334,0.014634974746340002,0.2035428571428571,9.0,16.0,0.1568627450980392,0.5078751011651501,0.0001673853769984,0.3812530492020404,5,0.3505002082929495,5,0.40781554920204055,5,0.3750030492020404,5,0.29055569044277885,5,0.2606198945899978,5,0.6790362029871697,5,cdr_ridge,zne_fr
hw_efficient_ansatz,3,8,FakeLagosV2,1024,5,3.0,34.0,54.0,16.0,16.0,54.0,0.2285714285714285,11.333333333333334,0.014634974746340002,0.2035428571428571,10.0,16.0,0.1568627450980392,0.5078751011651501,0.0001673853769984,0.35898742420204044,5,0.36722606056567675,5,0.3414092992020404,5,0.3750030492020404,5,0.2663284549364785,5,0.25738423823047324,5,0.8767535003015496,5,cdr_ridge,raw
hw_efficient_ansatz,3,8,FakeLagosV2,2048,5,3.0,34.0,54.0,16.0,16.0,54.0,0.2285714285714285,11.333333333333334,0.014634974746340002,0.2035428571428571,11.0,16.0,0.1568627450980392,0.5078751011651501,0.0001673853769984,0.3701202367020404,5,0.36033685602022214,5,0.36738586170204035,5,0.3537139867020404,5,0.2517602401033724,5,0.2530820484931584,5,0.3713217970792056,5,cdr,zne_fr
hw_efficient_ansatz,3,8,FakeLagosV2,4096,5,3.0,34.0,54.0,16.0,16.0,54.0,0.2285714285714285,11.333333333333334,0.014634974746340002,0.2035428571428571,12.0,16.0,0.1568627450980392,0.5078751011651501,0.0001673853769984,0.35947570545204044,5,0.3620502793156767,5,0.3681671117020405,5,0.36601867420204043,5,0.18997991702433112,5,0.20672191737569742,5,0.13512866429078374,5,rem,rem
hw_efficient_ansatz,3,8,FakeLagosV2@x0.25,256,5,3.0,34.0,54.0,16.0,16.0,54.0,0.2285714285714285,11.333333333333334,0.0036587436865850005,0.0508857142857142,8.0,16.0,0.1568627450980392,0.5078751011651501,4.1846344249624994e-05,0.09375304920204035,5,0.1298325946565858,5,0.06719054920204057,5,0.09309094854734612,5,0.06508049548056485,5,0.06384372115287831,5,0.08737746301568267,5,cdr_ridge,zne_fr
hw_efficient_ansatz,3,8,FakeLagosV2@x0.25,512,5,3.0,34.0,54.0,16.0,16.0,54.0,0.2285714285714285,11.333333333333334,0.0036587436865850005,0.0508857142857142,9.0,16.0,0.1568627450980392,0.5078751011651501,4.1846344249624994e-05,0.11953429920204037,5,0.13721895829294944,5,0.11562804920204058,5,0.07656554920204035,5,0.029268161124584524,5,0.03135173515479232,5,0.028463127729881584,5,rem,rem
hw_efficient_ansatz,3,8,FakeLagosV2@x0.25,1024,5,3.0,34.0,54.0,16.0,16.0,54.0,0.2285714285714285,11.333333333333334,0.0036587436865850005,0.0508857142857142,10.0,16.0,0.1568627450980392,0.5078751011651501,4.1846344249624994e-05,0.13672179920204036,5,0.1358340151111313,5,0.12734679920204042,5,0.11211242420204037,5,0.04711593200139368,5,0.04478671946703951,5,0.04446484616130436,5,rem,rem
hw_efficient_ansatz,3,8,FakeLagosV2@x0.25,2048,5,3.0,34.0,54.0,16.0,16.0,54.0,0.2285714285714285,11.333333333333334,0.0036587436865850005,0.0508857142857142,11.0,16.0,0.1568627450980392,0.5078751011651501,4.1846344249624994e-05,0.12676086170204037,5,0.13478642988385853,5,0.10996398670204055,5,0.12969054920204037,5,0.036831910922985156,5,0.034919124104409435,5,0.03760929862945126,5,cdr_ridge,rem
hw_efficient_ansatz,3,8,FakeLagosV2@x0.25,4096,5,3.0,34.0,54.0,16.0,16.0,54.0,0.2285714285714285,11.333333333333334,0.0036587436865850005,0.0508857142857142,12.0,16.0,0.1568627450980392,0.5078751011651501,4.1846344249624994e-05,0.13662414295204037,5,0.13510603215658584,5,0.11982726795204046,5,0.11347961170204038,5,0.01373816345350502,5,0.013593137815905942,5,0.01397445527794446,5,cdr_ridge,rem
hw_efficient_ansatz,3,8,FakeLagosV2@x0.5,256,5,3.0,34.0,54.0,16.0,16.0,54.0,0.2285714285714285,11.333333333333334,0.007317487373170001,0.10177142857142848,8.0,16.0,0.1568627450980392,0.5078751011651501,8.369268849924999e-05,0.23437804920204036,5,0.23920759465658578,5,0.22344054920204046,5,0.19219054920204037,5,0.10572844944834285,5,0.13200348144108398,5,0.1326827246615243,5,cdr,zne_fr
hw_efficient_ansatz,3,8,FakeLagosV2@x0.5,512,5,3.0,34.0,54.0,16.0,16.0,54.0,0.2285714285714285,11.333333333333334,0.007317487373170001,0.10177142857142848,9.0,16.0,0.1568627450980392,0.5078751011651501,8.369268849924999e-05,0.20234679920204038,5,0.24915077647476763,5,0.1929717992020406,5,0.22109679920204037,5,0.05874117337977669,5,0.0632665220343864,5,0.07182570153693588,5,cdr,rem
